2025-10-03 20:37:48 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:37:48.659287", "event": "ZIP_PASSWORD_DISABLED", "data": {}}
2025-10-03 20:38:01 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:38:01.944756", "event": "BUTTON_CLICK", "data": {"action": "OPEN_ZIP_SETTINGS"}}
2025-10-03 20:38:01 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:38:01.964805", "event": "ZIP_PASSWORD_DISABLED", "data": {}}
2025-10-03 20:38:07 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:38:07.724360", "event": "CONFIG_CHANGE", "data": {"key": "tts_lang", "old": "en", "new": "tr"}}
2025-10-03 20:38:09 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:38:09.175465", "event": "CONFIG_CHANGE", "data": {"key": "tts_service", "old": "google", "new": "edge"}}
2025-10-03 20:38:10 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:38:10.486888", "event": "CONFIG_CHANGE", "data": {"key": "tts_voice", "old": "female", "new": "male"}}
2025-10-03 20:38:13 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:38:13.001296", "event": "BUTTON_CLICK", "data": {"action": "CONVERT"}}
2025-10-03 20:38:16 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:16.226406", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 215568, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:38:16 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:16.637396", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.41098928451538086, "input_bytes": 215568, "output_bytes": 144140}}
2025-10-03 20:38:18 | INFO    | ZIPConvertor | {"timestamp": "2025-10-03T20:38:18.509617", "event": "TTS_REQUEST", "data": {"service": "edge", "lang": "tr", "format": "mp3", "chars": 148}}
2025-10-03 20:38:18 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:18.520615", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 61056, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:38:18 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:18.815264", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.2946491241455078, "input_bytes": 61056, "output_bytes": 41132}}
2025-10-03 20:38:20 | INFO    | ZIPConvertor | {"timestamp": "2025-10-03T20:38:20.148390", "event": "TTS_REQUEST", "data": {"service": "edge", "lang": "tr", "format": "mp3", "chars": 148}}
2025-10-03 20:38:20 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:20.159802", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 61056, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:38:20 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:20.453361", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.29355955123901367, "input_bytes": 61056, "output_bytes": 41132}}
2025-10-03 20:38:21 | INFO    | ZIPConvertor | {"timestamp": "2025-10-03T20:38:21.852534", "event": "TTS_REQUEST", "data": {"service": "edge", "lang": "tr", "format": "mp3", "chars": 150}}
2025-10-03 20:38:21 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:21.863693", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 61200, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:38:22 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:22.158884", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.29519057273864746, "input_bytes": 61200, "output_bytes": 41228}}
2025-10-03 20:38:23 | INFO    | ZIPConvertor | {"timestamp": "2025-10-03T20:38:23.653259", "event": "TTS_REQUEST", "data": {"service": "edge", "lang": "tr", "format": "mp3", "chars": 119}}
2025-10-03 20:38:23 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:23.665251", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 48240, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:38:23 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:38:23.949760", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.28450894355773926, "input_bytes": 48240, "output_bytes": 32588}}
2025-10-03 20:38:25 | INFO    | ZIPHelper | {"timestamp": "2025-10-03T20:38:25.747548", "event": "SUCCESS", "data": {"action": "ZIP_CREATE_SUCCESS", "duration": {"path": "T:\\TunaRP\\Zero to Dev - Developer GUI\\output\\tts_package.zip"}}}
2025-10-03 20:38:25 | INFO    | ZIPConvertor | {"timestamp": "2025-10-03T20:38:25.758582", "event": "FILE_EXPORT", "data": {"path": "T:\\TunaRP\\Zero to Dev - Developer GUI\\output\\tts_package.zip", "size": 174631}}
2025-10-03 20:38:25 | INFO    | ZIPConvertor | {"timestamp": "2025-10-03T20:38:25.769599", "event": "SUCCESS", "data": {"action": "ZIP_EXPORT", "duration": 8.700517416000366}}
